user_id,purchase,pay_dt,media_source
08c36a85,0.99,2021-10-21,Google Adwords
08cc0128,0.99,2021-10-31,Google Adwords
08cc0128,0.99,2021-10-31,Google Adwords
08e2c6d5,0.99,2021-11-17,Google Adwords
08f0f17e,0.99,2021-10-15,Google Adwords
08f0f17e,0.99,2021-10-12,Google Adwords
08f0f17e,0.99,2021-10-09,Google Adwords
08f0f17e,0.99,2021-10-17,Google Adwords
08f14a7e,0.99,2021-10-11,Google Adwords
08f14a7e,0.99,2021-10-11,Google Adwords
08f21a6a,0.99,2021-10-14,organic
08f21a6a,0.99,2021-10-14,organic
08f21a6a,0.99,2021-10-14,organic
0997eaa2,0.99,2021-10-22,Facebook Ads
099e7349,0.99,2021-10-01,Google Adwords
099e7349,0.99,2021-10-01,Google Adwords
099e7349,0.99,2021-10-01,Google Adwords
09a1d04d,0.99,2021-10-30,Google Adwords
09a82b76,0.99,2021-10-17,Facebook Ads
09a82b76,0.99,2021-10-17,Facebook Ads
09b0134d,0.99,2021-10-03,Google Adwords
09c80bcf,0.99,2021-10-29,Facebook Ads
09c80bcf,2.99,2021-10-28,Facebook Ads
09c80bcf,0.99,2021-10-21,Facebook Ads
09c89225,9.99,2021-10-14,Facebook Ads
09dfd031,0.99,2021-10-30,Google Adwords
09dfd031,0.99,2021-10-30,Google Adwords
0a18e6f1,0.99,2021-10-16,Google Adwords
0a18e6f1,0.99,2021-10-16,Google Adwords
0a18e6f1,2.99,2021-10-16,Google Adwords
0a284338,0.99,2021-10-30,Facebook Ads
0a402a7a,0.99,2021-10-08,Facebook Ads
0a402a7a,0.99,2021-10-08,Facebook Ads
0a533951,0.99,2021-10-09,Facebook Ads
0a7fc4a3,0.99,2021-10-19,Google Adwords
0a96afbd,0.99,2021-10-19,Google Adwords
0a998a2d,0.99,2021-10-21,organic
0ad35109,0.99,2021-10-10,Facebook Ads
0ad35109,0.99,2021-10-10,Facebook Ads
0ad35109,0.99,2021-10-11,Facebook Ads
0ad35109,0.99,2021-10-11,Facebook Ads
0b11d9fc,0.99,2021-10-18,Facebook Ads
0b1456c2,0.99,2021-10-13,Google Adwords
0b335a4c,0.99,2021-10-18,Facebook Ads
0b335a4c,0.99,2021-10-20,Facebook Ads
0b335a4c,9.99,2021-10-19,Facebook Ads
0b41ff0b,0.99,2021-10-07,Facebook Ads
0b448393,0.99,2021-10-01,Google Adwords
0b448393,0.99,2021-10-01,Google Adwords
0b448393,0.99,2021-10-01,Google Adwords
0b448393,0.99,2021-10-01,Google Adwords
0b448393,2.99,2021-10-01,Google Adwords
0b448393,0.99,2021-10-01,Google Adwords
0b448393,0.99,2021-10-01,Google Adwords
0b4ff633,0.99,2021-10-29,Google Adwords
0b4ff633,2.99,2021-10-29,Google Adwords
0b50977b,0.99,2021-10-08,Facebook Ads
0b50977b,0.99,2021-10-08,Facebook Ads
0b50977b,0.99,2021-10-08,Facebook Ads
0b626c8e,0.99,2021-10-08,Facebook Ads
0b626c8e,0.99,2021-10-08,Facebook Ads
0b626c8e,0.99,2021-10-08,Facebook Ads
0b626c8e,0.99,2021-10-08,Facebook Ads
0b679704,0.99,2021-10-30,Google Adwords
0b755c73,0.99,2021-10-19,Facebook Ads
0b755c73,0.99,2021-10-19,Facebook Ads
0b7a09a9,0.99,2021-10-17,Google Adwords
0b7a09a9,0.99,2021-10-17,Google Adwords
0b8119dd,0.99,2021-10-11,Google Adwords
0b951917,0.99,2021-10-18,Google Adwords
0b951917,0.99,2021-10-18,Google Adwords
0bbae5ac,0.99,2021-10-21,Google Adwords
0bc03089,0.99,2021-10-14,Facebook Ads
0bca022c,0.99,2021-10-04,Google Adwords
0bca022c,0.99,2021-10-04,Google Adwords
0bd38f3e,0.99,2021-10-31,Google Adwords
0bd38f3e,0.99,2021-10-26,Google Adwords
0bd38f3e,0.99,2021-10-26,Google Adwords
0be5f8fc,0.99,2021-10-02,Facebook Ads
0be5f8fc,2.99,2021-10-02,Facebook Ads
0c0ef9e1,2.99,2021-10-22,Google Adwords
0c0fb2bd,0.99,2021-10-25,Facebook Ads
0c0fb2bd,0.99,2021-10-25,Facebook Ads
0c0fb2bd,4.99,2021-10-25,Facebook Ads
0c1e5013,0.99,2021-10-14,Google Adwords
0c2375fd,0.99,2021-10-11,Facebook Ads
0c2dff87,0.99,2021-10-15,Facebook Ads
0c4494e9,0.99,2021-11-01,Google Adwords
0c47cc6b,0.99,2021-10-17,Google Adwords
0c47cc6b,0.99,2021-10-23,Google Adwords
0c494bea,0.99,2021-10-09,Facebook Ads
0c494bea,0.99,2021-10-09,Facebook Ads
0c86dbb7,2.99,2021-11-19,Facebook Ads
0c86dbb7,0.99,2021-10-23,Facebook Ads
0c922c1f,0.99,2021-10-19,Google Adwords
0c922c1f,0.99,2021-10-19,Google Adwords
0c9f06f2,4.99,2021-10-08,Facebook Ads
0c9f06f2,0.99,2021-10-08,Facebook Ads
0cda9e31,0.99,2021-11-02,Google Adwords
0ce054f7,0.99,2021-10-24,Google Adwords
0ce054f7,0.99,2021-10-24,Google Adwords
0ce70f1e,0.99,2021-10-02,Facebook Ads
0cf796c7,9.99,2021-10-28,Google Adwords
0d090825,0.99,2021-10-15,Facebook Ads
0d090825,0.99,2021-10-15,Facebook Ads
0d1e6315,0.99,2021-10-23,Google Adwords
0d1e6315,2.99,2021-10-30,Google Adwords
0d228299,0.99,2021-10-05,Facebook Ads
0d228299,0.99,2021-10-06,Facebook Ads
0d4e645f,0.99,2021-10-08,Google Adwords
0d9700cc,0.99,2021-10-25,Google Adwords
0dcf6f16,0.99,2021-10-17,Facebook Ads
0dd177b1,0.99,2021-10-24,Google Adwords
0ddb4ba8,0.99,2021-10-18,Google Adwords
0e016f3b,0.99,2021-10-29,Google Adwords
0e016f3b,0.99,2021-10-30,Google Adwords
0e0d3da3,0.99,2021-10-11,Google Adwords
0e0d3da3,0.99,2021-10-11,Google Adwords
0e20dca6,0.99,2021-10-19,Google Adwords
0e23cb93,0.99,2021-10-02,Google Adwords
0e3d3ce4,0.99,2021-10-29,organic
0e58c1bd,0.99,2021-10-08,Google Adwords
0e6e01e9,0.99,2021-10-17,Facebook Ads
0e859f4f,0.99,2021-10-09,organic
0e88aca4,0.99,2021-11-12,Google Adwords
0e891eb3,9.99,2021-10-24,Google Adwords
0e891eb3,0.99,2021-10-24,Google Adwords
0e891eb3,0.99,2021-10-24,Google Adwords
0e891eb3,4.99,2021-10-24,Google Adwords
0e891eb3,0.99,2021-10-24,Google Adwords
0eb2da44,0.99,2021-10-23,Google Adwords
0ec56c33,0.99,2021-10-29,Facebook Ads
0eedbea7,0.99,2021-10-30,Google Adwords
0f13eb61,0.99,2021-10-08,Facebook Ads
0f1a698d,0.99,2021-10-12,Google Adwords
0f1a698d,0.99,2021-10-11,Google Adwords
0f1bb362,0.99,2021-10-29,Facebook Ads
0f1bb362,0.99,2021-10-29,Facebook Ads
0f44d5a4,2.99,2021-10-22,Facebook Ads
0f44d5a4,0.99,2021-10-22,Facebook Ads
0f4539f2,0.99,2021-10-13,Google Adwords
0f56ba62,0.99,2021-10-09,Google Adwords
0f58a92c,0.99,2021-10-15,Google Adwords
0f58a92c,9.99,2021-10-15,Google Adwords
0f59dd37,2.99,2021-11-01,Google Adwords
0f59dd37,2.99,2021-10-31,Google Adwords
0f609051,0.99,2021-10-20,Google Adwords
0f609051,0.99,2021-10-20,Google Adwords
0f7de4b8,0.99,2021-10-04,Facebook Ads
0f7de4b8,0.99,2021-10-04,Facebook Ads
0f7de4b8,0.99,2021-10-04,Facebook Ads
0f7de4b8,0.99,2021-10-04,Facebook Ads
0f7ea0d8,2.99,2021-11-02,Facebook Ads
0f7ea0d8,0.99,2021-11-05,Facebook Ads
0f7ea0d8,0.99,2021-11-07,Facebook Ads
0f7ea0d8,0.99,2021-11-02,Facebook Ads
0f83999b,0.99,2021-10-29,Facebook Ads
0fbe5007,2.99,2021-10-22,Google Adwords
0fbe5007,0.99,2021-10-22,Google Adwords
0feb9cc8,0.99,2021-10-10,Facebook Ads
0feb9cc8,2.99,2021-10-11,Facebook Ads
0ff0942f,0.99,2021-10-10,organic
0ff2b4e7,0.99,2021-10-27,Google Adwords
0ff2b4e7,0.99,2021-10-27,Google Adwords
10041ac7,4.99,2021-10-10,Facebook Ads
10041ac7,0.99,2021-10-10,Facebook Ads
100d946c,0.99,2021-10-08,Google Adwords
1015ef71,2.99,2021-10-07,Google Adwords
102e0f3e,2.99,2021-10-30,Facebook Ads
102e0f3e,0.99,2021-10-30,Facebook Ads
102e0f3e,2.99,2021-10-30,Facebook Ads
104a8c90,0.99,2021-10-31,Google Adwords
108989d5,0.99,2021-10-24,Facebook Ads
108989d5,0.99,2021-10-24,Facebook Ads
109baddc,0.99,2021-10-24,Google Adwords
109baddc,0.99,2021-10-24,Google Adwords
109baddc,2.99,2021-10-24,Google Adwords
10a79f5c,0.99,2021-10-10,Google Adwords
10aadcf3,4.99,2021-10-03,Google Adwords
10aadcf3,0.99,2021-10-03,Google Adwords
10b596ae,0.99,2021-10-24,Google Adwords
10c0e297,4.99,2021-10-01,Facebook Ads
110361bc,0.99,2021-10-04,Facebook Ads
1116d3de,0.99,2021-10-29,Google Adwords
1116d3de,0.99,2021-10-31,Google Adwords
11243c65,0.99,2021-10-24,Google Adwords
11322dee,2.99,2021-10-09,organic
11322dee,0.99,2021-10-09,organic
11322dee,0.99,2021-10-09,organic
11322dee,2.99,2021-10-07,organic
11322dee,0.99,2021-10-10,organic
11322dee,0.99,2021-10-07,organic
11322dee,0.99,2021-10-10,organic
113b4131,0.99,2021-10-02,Google Adwords
116701e0,0.99,2021-10-13,Facebook Ads
116701e0,2.99,2021-10-18,Facebook Ads
11678728,0.99,2021-10-05,Facebook Ads
11678728,0.99,2021-10-05,Facebook Ads
116dde0d,0.99,2021-10-21,Facebook Ads
116dde0d,0.99,2021-10-14,Facebook Ads
117e5df3,2.99,2021-10-18,Facebook Ads
11833fa9,0.99,2021-10-03,Facebook Ads
11833fa9,0.99,2021-10-03,Facebook Ads
1183a88b,0.99,2021-10-30,Google Adwords
1183a88b,0.99,2021-10-30,Google Adwords
1183a88b,0.99,2021-10-30,Google Adwords
11b1d2f1,0.99,2021-10-16,Facebook Ads
11b1d2f1,0.99,2021-10-16,Facebook Ads
11c676da,0.99,2021-10-23,Google Adwords
11f6158f,0.99,2021-10-28,Google Adwords
11f6158f,0.99,2021-10-28,Google Adwords
11feabf0,0.99,2021-10-06,Facebook Ads
11feabf0,2.99,2021-10-06,Facebook Ads
1206abce,0.99,2021-10-18,Google Adwords
1206abce,0.99,2021-10-18,Google Adwords
1217ed23,0.99,2021-10-31,Google Adwords
1217ed23,0.99,2021-10-30,Google Adwords
1243050b,0.99,2021-10-08,Google Adwords
1243050b,0.99,2021-10-08,Google Adwords
1243050b,0.99,2021-10-08,Google Adwords
12451d1c,0.99,2021-10-01,Google Adwords
12451d1c,0.99,2021-10-01,Google Adwords
12451d1c,0.99,2021-10-01,Google Adwords
124d061c,0.99,2021-10-16,Facebook Ads
124d061c,0.99,2021-10-16,Facebook Ads
1258ac63,0.99,2021-10-18,Google Adwords
1258ac63,0.99,2021-10-18,Google Adwords
126da9e2,2.99,2021-10-16,Google Adwords
12803e7a,0.99,2021-10-09,Google Adwords
12e2c2e6,0.99,2021-10-16,Google Adwords
130f95b4,0.99,2021-10-20,Google Adwords
133cde23,0.99,2021-11-10,Google Adwords
133cde23,0.99,2021-10-31,Google Adwords
13603a00,2.99,2021-10-13,Facebook Ads
13776d07,0.99,2021-10-04,Google Adwords
13776d07,0.99,2021-10-04,Google Adwords
13776d07,0.99,2021-10-04,Google Adwords
13776d07,2.99,2021-10-04,Google Adwords
137c53e5,0.99,2021-10-31,Google Adwords
13d6d097,0.99,2021-10-09,Facebook Ads
1404b5dc,0.99,2021-10-29,Google Adwords
1420b602,0.99,2021-10-16,Google Adwords
1420b602,0.99,2021-10-15,Google Adwords
1420b602,0.99,2021-10-16,Google Adwords
1440c518,0.99,2021-10-20,Facebook Ads
144973b9,0.99,2021-10-31,Google Adwords
1453ee16,0.99,2021-10-04,Google Adwords
1453ee16,0.99,2021-10-04,Google Adwords
1453ee16,0.99,2021-10-04,Google Adwords
1453ee16,0.99,2021-10-04,Google Adwords
14890217,0.99,2021-11-12,Google Adwords
149a62ed,2.99,2021-10-06,Google Adwords
149a62ed,0.99,2021-10-06,Google Adwords
149a62ed,2.99,2021-10-07,Google Adwords
14b0275b,0.99,2021-10-23,Google Adwords
14b0275b,0.99,2021-10-22,Google Adwords
14b98e1e,0.99,2021-10-07,Facebook Ads
14b98e1e,0.99,2021-10-07,Facebook Ads
14cb6d04,0.99,2021-10-31,Google Adwords
14d0cd91,0.99,2021-10-05,Facebook Ads
14d0cd91,0.99,2021-10-06,Facebook Ads
1513fbe8,0.99,2021-10-18,Facebook Ads
1513fbe8,0.99,2021-10-18,Facebook Ads
151a3da2,2.99,2021-10-15,Facebook Ads
151a3da2,0.99,2021-10-14,Facebook Ads
151a3da2,2.99,2021-10-14,Facebook Ads
151a3da2,0.99,2021-10-15,Facebook Ads
152e4551,0.99,2021-10-30,Google Adwords
1548f547,0.99,2021-10-10,Google Adwords
15581b64,0.99,2021-10-12,Facebook Ads
157a441f,0.99,2021-10-09,Facebook Ads
157a441f,0.99,2021-10-10,Facebook Ads
1589a25a,0.99,2021-10-27,Google Adwords
1589db45,0.99,2021-10-03,Facebook Ads
1589db45,0.99,2021-10-02,Facebook Ads
158d86ae,0.99,2021-10-09,Google Adwords
15ad1598,2.99,2021-10-16,Facebook Ads
15ad1598,2.99,2021-10-16,Facebook Ads
15ad1598,0.99,2021-10-16,Facebook Ads
15c75b78,0.99,2021-10-14,Google Adwords
16078a27,0.99,2021-10-31,Facebook Ads
161433f8,0.99,2021-10-24,Google Adwords
161433f8,0.99,2021-10-24,Google Adwords
162c7845,2.99,2021-10-16,Facebook Ads
